month,site,plot,treatment,sp,ID,focal,age,leaves_tot,leaves_infec,leaf_area.pix,lesion_area.pix,severity,plant_group,next_severity,Mv_dens,EvS_dens,EvA_dens,Mv_sev,Ev_sev,Mv_sev_dens,EvS_sev_dens,EvA_sev_dens,edge_severity,dew_c,temp_avg_s,hum_avg_s,fungicide,plotf,next_severity_l,next_severity_t
early_aug,D1,2,fungicide,Mv,1,1,seedling,5,2,236156,8346,0.01413641829976795,Mv,0.10052849264705882,7,3,1,0.0025838960349384966,0.0615569993372498,0.015503376209630979,0.1846709980117494,0.0615569993372498,0.2983463365251765,NA,NA,NA,1,D12f,-2.1913573449168693,0.10140452665441176
early_aug,D1,2,fungicide,Mv,2,1,seedling,7,2,391475,4842,0.0035338874038663296,Mv,0.32599287248767717,7,3,1,0.007885161482889307,0.0615569993372498,0.04731096889733584,0.1846709980117494,0.0615569993372498,0.2983463365251765,NA,NA,NA,1,D12f,-0.7263635843200693,0.32637446706555506
early_aug,D1,2,fungicide,Mv,3,1,seedling,5,1,174796,1428,0.0016339046660106638,Mv,0.21650763180364857,7,3,1,0.00883515285181714,0.0615569993372498,0.05301091711090284,0.1846709980117494,0.0615569993372498,0.2983463365251765,NA,NA,NA,1,D12f,-1.2861321810115947,0.21712932559355283
early_aug,D1,3,fungicide,Mv,1,1,seedling,6,0,300591,0,0,Mv,0.0690385500816207,19,3,1,7.464730644674347e-5,0.03403615887187257,0.0013436515160413825,0.10210847661561771,0.03403615887187257,0.048329968334151124,NA,NA,NA,1,D13f,-2.6015394133983225,0.06998364098056452
early_aug,D1,3,fungicide,Mv,2,1,seedling,3,1,171122,21,4.0906487768960155e-5,Mv,8.350929419502233e-4,19,3,1,5.41940625622634e-5,0.03403615887187257,9.754931261207411e-4,0.10210847661561771,0.03403615887187257,0.048329968334151124,NA,NA,NA,1,D13f,-7.0859363330963285,0.001929752825849455
early_aug,D1,3,fungicide,Mv,3,1,seedling,5,1,125475,68,1.083881251245268e-4,Mv,0.32477644696598257,19,3,1,2.0453243884480078e-5,0.03403615887187257,3.681583899206414e-4,0.10210847661561771,0.03403615887187257,0.048329968334151124,NA,NA,NA,1,D13f,-0.7319051375124627,0.3251607091436887
early_aug,D1,4,fungicide,Mv,1,1,seedling,7,1,605105,3412,8.05527257961133e-4,Mv,0.29183226901263787,67,3,1,2.1404308610758105e-4,0.0838648671263879,0.014126843683100349,0.2515946013791637,0.0838648671263879,0.15692541841814214,NA,NA,NA,1,D14f,-0.886499743243848,0.2922887771946277
early_aug,D1,4,fungicide,Mv,2,1,seedling,8,1,514554,355,8.623973382774209e-5,Mv,0.196405758122192,67,3,1,5.736868481742766e-4,0.0838648671263879,0.03786333197950226,0.2515946013791637,0.0838648671263879,0.15692541841814214,NA,NA,NA,1,D14f,-1.4089079065882038,0.19707153496841526
early_aug,D1,4,fungicide,Mv,3,1,seedling,7,1,531567,1272,3.4184643838742004e-4,Mv,0.24263155119687863,67,3,1,4.458834958944376e-4,0.0838648671263879,0.029428310729032882,0.2515946013791637,0.0838648671263879,0.15692541841814214,NA,NA,NA,1,D14f,-1.1383030137921586,0.24319595568986793
early_aug,D1,5,fungicide,Mv,1,1,seedling,7,3,603161,817,5.805130920978928e-4,Mv,0.14711492608488316,3,7,1,0.0010008625189061138,0.09374982228560395,0.0020017250378122275,0.6562487559992277,0.09374982228560395,3.2975486922675143,NA,NA,NA,1,D15f,-1.757405090448902,0.1478887968610128
early_aug,D1,5,fungicide,Mv,2,1,seedling,5,2,373167,946,0.0010140232121275462,Mv,0.14080461950542156,3,7,1,7.841074588912871e-4,0.09374982228560395,0.0015682149177825742,0.6562487559992277,0.09374982228560395,3.2975486922675143,NA,NA,NA,1,D15f,-1.808617156900271,0.1415923286731728
early_aug,D1,5,fungicide,Mv,3,1,seedling,6,1,421011,2495,9.877018256846813e-4,Mv,0.08787261618218849,3,7,1,7.972681521127195e-4,0.09374982228560395,0.001594536304225439,0.6562487559992277,0.09374982228560395,3.2975486922675143,NA,NA,NA,1,D15f,-2.3398811494406884,0.08877640430459596
early_aug,D1,7,fungicide,Mv,1,1,seedling,7,0,449744,0,0,Mv,0.024282370922290682,3,19,1,0,0.05582595886892158,0,1.0606932185095101,0.05582595886892158,0.01716306975173669,NA,NA,NA,1,D17f,-3.693382462985609,0.02532561133693478
early_aug,D1,7,fungicide,Mv,2,1,seedling,5,0,311277,0,0,Mv,2.0712278462589148e-4,3,19,1,0,0.05582595886892158,0,1.0606932185095101,0.05582595886892158,0.01716306975173669,NA,NA,NA,1,D17f,-8.477176188088105,0.0013031597960631155
early_aug,D1,7,fungicide,Mv,3,1,seedling,5,0,413171,0,0,Mv,0.06598430256575022,3,19,1,0,0.05582595886892158,0,1.0606932185095101,0.05582595886892158,0.01716306975173669,NA,NA,NA,1,D17f,-2.650062286549516,0.06693609137591305
early_aug,D1,8,fungicide,Mv,1,1,seedling,3,1,525856,27652,0.017528246009046837,Mv,0.16238436475259557,3,3,3,9.616375761191678e-4,0.016021358085463067,0.0019232751522383356,0.0480640742563892,0.0480640742563892,0.5417743164820968,NA,NA,NA,1,D18f,-1.6405882148115791,0.1631247499176118
early_aug,D1,8,fungicide,Mv,2,1,seedling,5,1,353074,540,3.058848853214907e-4,Mv,0.1232082778439756,3,3,3,0.009572818137981842,0.016021358085463067,0.019145636275963683,0.0480640742563892,0.0480640742563892,0.5417743164820968,NA,NA,NA,1,D18f,-1.962386260245509,0.12403457548028268
early_aug,D1,8,fungicide,Mv,3,1,seedling,6,3,368804,1193,0.0016173902669168448,Mv,0.2759420374408378,3,3,3,0.008917065447184163,0.016021358085463067,0.017834130894368326,0.0480640742563892,0.0480640742563892,0.5417743164820968,NA,NA,NA,1,D18f,-0.9646783707313265,0.27643339262188854
early_aug,D1,9,fungicide,Mv,1,1,seedling,6,1,378929,853,3.751802228561727e-4,Mv,0.036484410677959066,3,3,5,7.782222534134949e-5,0.013529041485010454,1.5564445068269898e-4,0.04058712445503136,0.06764520742505227,0.43127609005784057,NA,NA,NA,1,D19f,-3.273677232193176,0.03750089223348985
early_aug,D1,9,fungicide,Mv,2,1,seedling,6,0,159153,0,0,Mv,0.12999767917800706,3,3,5,2.654123367694358e-4,0.013529041485010454,5.308246735388716e-4,0.04058712445503136,0.06764520742505227,0.43127609005784057,NA,NA,NA,1,D19f,-1.900972738430241,0.1308090877763009
early_aug,D1,9,fungicide,Mv,3,1,seedling,5,1,641205,499,1.5564445068269898e-4,Mv,0.01575434059436579,3,3,5,1.8759011142808636e-4,0.013529041485010454,3.751802228561727e-4,0.04058712445503136,0.06764520742505227,0.43127609005784057,NA,NA,NA,1,D19f,-4.13469714249076,0.016816282829904463
early_aug,D1,10,fungicide,Mv,1,1,seedling,5,1,653959,681,2.0826993741197844e-4,Mv,0.022022598077058038,3,3,9,0,0.04362669941376008,0,0.13088009824128025,0.3926402947238407,0.026593136944524545,NA,NA,NA,1,D110f,-3.7933730674213306,0.023070794133906593
early_aug,D1,10,fungicide,Mv,2,1,seedling,5,0,318515,0,0,Mv,0.015180745754135172,3,3,9,1.0413496870598922e-4,0.04362669941376008,2.0826993741197844e-4,0.13088009824128025,0.3926402947238407,0.026593136944524545,NA,NA,NA,1,D110f,-4.172365372469914,0.0162439458730954
early_aug,D1,10,fungicide,Mv,3,1,seedling,5,0,313813,0,0,Mv,0.13940475731382368,3,3,9,1.0413496870598922e-4,0.04362669941376008,2.0826993741197844e-4,0.13088009824128025,0.3926402947238407,0.026593136944524545,NA,NA,NA,1,D110f,-1.8202366563127492,0.14019553635480214
early_aug,D1,1,water,Mv,1,1,seedling,6,1,587769,2133,6.048294483036703e-4,Mv,0.4790075459568671,3,3,1,0.002390564237868708,0.1467693543834546,0.004781128475737416,0.44030806315036375,0.1467693543834546,0.0035686487945577935,1.4410685278926527,-1.1001282660839968,1.0872222483320075,0,D11w,-0.0840190389596331,0.4790535820402951
early_aug,D1,1,water,Mv,2,1,seedling,6,0,439320,0,0,Mv,0.07406189484453214,3,3,1,0.0026929789620205435,0.1467693543834546,0.005385957924041087,0.44030806315036375,0.1467693543834546,0.0035686487945577935,1.4410685278926527,-1.1001282660839968,1.0872222483320075,0,D11w,-2.5258938087383456,0.07499596963653973
early_aug,D1,1,water,Mv,3,1,seedling,6,1,479071,13743,0.004781128475737416,Mv,0.10413778443224458,3,3,1,3.0241472415183516e-4,0.1467693543834546,6.048294483036703e-4,0.44030806315036375,0.1467693543834546,0.0035686487945577935,1.4410685278926527,-1.1001282660839968,1.0872222483320075,0,D11w,-2.1520632648793163,0.10500590332603352
early_aug,D1,2,water,Mv,1,1,seedling,6,2,469508,775,5.502213664800884e-4,Mv,0.18821257282647183,7,3,1,0.008635250393152178,0.19537093256207333,0.05181150235891307,0.5861127976862199,0.19537093256207333,0.09094597179402274,3.159289359163677,-1.658716747797939,1.7212046795726903,0,D12w,-1.4616624048206077,0.18889631718430852
early_aug,D1,2,water,Mv,2,1,seedling,2,1,849495,29226,0.017201984708562146,Mv,0.05400854032597582,7,3,1,3.093687221111503e-4,0.19537093256207333,0.0018562123326669017,0.5861127976862199,0.19537093256207333,0.09094597179402274,3.159289359163677,-1.658716747797939,1.7212046795726903,0,D12w,-2.863073894576176,0.05498659177262938
