focal,background,treatment,Estimate,Est.Error,CI.Lower,CI.Upper
Ev adult,background,control,0.20645932990425317,0.08141102631257661,0.04512178090921431,0.3660607099956543
Ev adult,background,fungicide,0.18957464697333273,0.08053902298725024,0.030619880733173614,0.34473184074240704
Ev first-year,background,control,0.2194983515640946,0.07589378120233431,0.07096531490042576,0.36854193754206943
Ev first-year,background,fungicide,0.2449784517906777,0.07339107044901437,0.1014235899274631,0.386768229666442
Mv,background,control,0.07959385789109126,0.06387266819777543,-0.0454554355500824,0.20512028440264535
Mv,background,fungicide,0.03335842941485232,0.06379258034071959,-0.0924738514757367,0.15888591510749303
Ev adult,Ev adult,control,0.09833036327539822,0.5724815584156533,-1.0326456930146264,1.2238164796718962
Ev adult,Ev adult,fungicide,-0.39791685776229235,0.38091863194395365,-1.1474509018808439,0.33777745293788203
Ev seedling,Ev adult,control,-0.09570589995753566,0.5690812735678019,-1.1981054544303213,1.0355954468607949
Ev seedling,Ev adult,fungicide,1.029431870321246,0.44726111514484646,0.15433101522409592,1.9002984795492492
Mv,Ev adult,control,0.13189139218592724,0.46210667214802553,-0.7760371764831331,1.026521301345794
Mv,Ev adult,fungicide,0.264218055344257,0.3874825171503572,-0.493088074976822,1.0205165205678621
Ev adult,Ev seedling,control,0.3730245287437562,0.6943111764385662,-0.98157173317599,1.7314137302031865
Ev adult,Ev seedling,fungicide,0.4871895162050567,0.8870549057251401,-1.2532304172171944,2.2265783619051613
Ev seedling,Ev seedling,control,-0.615819449238824,0.4741298591128656,-1.5527391271562403,0.3128628357092022
Ev seedling,Ev seedling,fungicide,1.2548534466029375,0.8189248735853644,-0.34045592761443877,2.8699853178215515
Mv,Ev seedling,control,0.024424767363757555,0.4503232021147656,-0.8485888850405838,0.9012876177949911
Mv,Ev seedling,fungicide,0.702374376021042,0.7053347419291783,-0.676158608605646,2.096763305629749
Ev adult,Mv,control,2.1282954756587427,0.5631909385619271,1.0273098492302237,3.2340651942977745
Ev adult,Mv,fungicide,1.995520673944429,1.0450098752604096,-0.06366916879382782,4.062408913363757
Ev seedling,Mv,control,0.9460731979151492,0.5533494122573176,-0.1287955477150665,2.0174770484614246
Ev seedling,Mv,fungicide,2.0440427568457724,1.0342610197906006,0.01975303933093295,4.075429905996149
Mv,Mv,control,1.146545166412756,0.4191254088815495,0.3163583184308514,1.9773991852299564
Mv,Mv,fungicide,1.4508167888363552,0.751575482486955,-0.018083027390498007,2.957978387066279
Ev adult,Mv edge,control,2.953154943085992,1.2295707397889908,0.5164430333066584,5.361617527318997
Ev adult,Mv edge,fungicide,3.594222954733705,1.6753674236545661,0.3253917030265876,6.881288974610633
Ev seedling,Mv edge,control,3.214698855440156,1.2472003435113923,0.7595761870968317,5.637821791309857
Ev seedling,Mv edge,fungicide,4.087241249967395,1.7080320488240979,0.7253661607661942,7.40108030391265
Mv,Mv edge,control,2.394058860536954,0.8841235549955173,0.653727355147177,4.121274671587973
Mv,Mv edge,fungicide,2.9430695282684542,1.2130618919723015,0.5681142886563423,5.2905354371570095
