time,species,N
1,Annual,10
2,Annual,5456.065484462591
3,Annual,55663.51896664843
4,Annual,58162.70119158342
5,Annual,58204.946332265456
6,Annual,58187.206341506084
7,Annual,58178.98858441354
8,Annual,58175.721112676816
9,Annual,58174.43080742053
10,Annual,58173.89807749298
11,Annual,58173.59857558564
12,Annual,58173.19715604584
13,Annual,58172.13838621754
14,Annual,58168.99546667412
15,Annual,58160.45755907752
16,Annual,58142.73535183748
17,Annual,41698.69188304782
18,Annual,41082.95213125639
19,Annual,41072.25130919114
20,Annual,41076.46744557535
21,Annual,41077.88249869414
22,Annual,41078.114506809034
23,Annual,41078.0299041954
24,Annual,41077.90718409588
25,Annual,41077.81377254653
26,Annual,41077.754302815185
27,Annual,41077.71946626799
28,Annual,41077.69999768348
29,Annual,41077.68943410217
30,Annual,41077.68381450726
31,Annual,41077.68086603275
32,Annual,41077.67933437204
33,Annual,41077.67854453381
34,Annual,41077.678139469615
35,Annual,41077.67793260016
36,Annual,41077.6778272869
37,Annual,41077.67777380587
38,Annual,41077.677746698566
39,Annual,41077.67773297918
40,Annual,41077.67772604371
41,Annual,41077.67772254093
42,Annual,41077.67772077298
43,Annual,41077.677719881125
44,Annual,41077.67771943149
45,Annual,41077.67771920493
46,Annual,41077.67771909069
47,Annual,41077.67771903316
48,Annual,41077.67771900409
49,Annual,41077.67771898961
50,Annual,41077.6777189822
51,Annual,41077.67771897855
52,Annual,41077.6777189766
53,Annual,41077.67771897572
54,Annual,41077.677718975196
55,Annual,41077.677718975065
56,Annual,41077.677718974955
57,Annual,41077.67771897482
58,Annual,41077.67771897484
59,Annual,41077.67771897474
60,Annual,41077.67771897477
61,Annual,41077.67771897484
62,Annual,41077.67771897477
63,Annual,41077.67771897477
64,Annual,41077.67771897477
65,Annual,41077.67771897481
66,Annual,41077.67771897477
67,Annual,41077.67771897474
68,Annual,41077.67771897477
69,Annual,41077.67771897477
70,Annual,41077.67771897477
71,Annual,41077.67771897477
72,Annual,41077.67771897484
73,Annual,41077.67771897477
74,Annual,41077.67771897481
75,Annual,41077.677718974875
76,Annual,41077.67771897481
77,Annual,41077.67771897481
78,Annual,41077.67771897481
79,Annual,41077.67771897481
80,Annual,41077.67771897474
81,Annual,41077.67771897477
82,Annual,41077.67771897474
83,Annual,41077.67771897481
84,Annual,41077.67771897474
85,Annual,41077.6777189747
86,Annual,41077.67771897474
87,Annual,41077.67771897477
88,Annual,41077.67771897477
89,Annual,41077.67771897474
90,Annual,41077.67771897481
91,Annual,41077.67771897481
92,Annual,41077.67771897481
93,Annual,41077.677718974875
94,Annual,41077.67771897474
95,Annual,41077.677718974664
96,Annual,41077.677718974766
97,Annual,41077.67771897481
98,Annual,41077.67771897477
99,Annual,41077.67771897474
100,Annual,41077.67771897477
1,Perennial first-year,0
2,Perennial first-year,0
3,Perennial first-year,0
4,Perennial first-year,0
5,Perennial first-year,0
6,Perennial first-year,0
7,Perennial first-year,0
8,Perennial first-year,0
9,Perennial first-year,0
10,Perennial first-year,0
11,Perennial first-year,0
12,Perennial first-year,0
13,Perennial first-year,0
14,Perennial first-year,0
15,Perennial first-year,0
16,Perennial first-year,0
17,Perennial first-year,0
18,Perennial first-year,0
19,Perennial first-year,0
20,Perennial first-year,0
21,Perennial first-year,0
22,Perennial first-year,0
23,Perennial first-year,0
24,Perennial first-year,0
25,Perennial first-year,0
26,Perennial first-year,0
27,Perennial first-year,0
28,Perennial first-year,0
29,Perennial first-year,0
30,Perennial first-year,0
31,Perennial first-year,0
32,Perennial first-year,0
33,Perennial first-year,0
34,Perennial first-year,0
35,Perennial first-year,0
36,Perennial first-year,0
37,Perennial first-year,0
38,Perennial first-year,0
39,Perennial first-year,0
40,Perennial first-year,0
41,Perennial first-year,0
42,Perennial first-year,0
43,Perennial first-year,0
44,Perennial first-year,0
45,Perennial first-year,0
46,Perennial first-year,0
47,Perennial first-year,0
48,Perennial first-year,0
49,Perennial first-year,0
50,Perennial first-year,0
51,Perennial first-year,0
52,Perennial first-year,0
53,Perennial first-year,0
54,Perennial first-year,0
55,Perennial first-year,0
56,Perennial first-year,0
57,Perennial first-year,0
58,Perennial first-year,0
59,Perennial first-year,0
60,Perennial first-year,0
61,Perennial first-year,0
62,Perennial first-year,0
63,Perennial first-year,0
64,Perennial first-year,0
65,Perennial first-year,0
66,Perennial first-year,0
67,Perennial first-year,0
68,Perennial first-year,0
69,Perennial first-year,0
70,Perennial first-year,0
71,Perennial first-year,0
72,Perennial first-year,0
73,Perennial first-year,0
74,Perennial first-year,0
75,Perennial first-year,0
76,Perennial first-year,0
77,Perennial first-year,0
78,Perennial first-year,0
79,Perennial first-year,0
80,Perennial first-year,0
81,Perennial first-year,0
82,Perennial first-year,0
83,Perennial first-year,0
84,Perennial first-year,0
85,Perennial first-year,0
86,Perennial first-year,0
87,Perennial first-year,0
88,Perennial first-year,0
89,Perennial first-year,0
90,Perennial first-year,0
91,Perennial first-year,0
92,Perennial first-year,0
93,Perennial first-year,0
94,Perennial first-year,0
95,Perennial first-year,0
96,Perennial first-year,0
97,Perennial first-year,0
98,Perennial first-year,0
99,Perennial first-year,0
100,Perennial first-year,0
1,Perennial adult,0
2,Perennial adult,0
3,Perennial adult,0
4,Perennial adult,0
5,Perennial adult,0
6,Perennial adult,0
7,Perennial adult,0
8,Perennial adult,0
9,Perennial adult,0
10,Perennial adult,0
11,Perennial adult,0
12,Perennial adult,0
13,Perennial adult,0
14,Perennial adult,0
15,Perennial adult,0
16,Perennial adult,0
17,Perennial adult,0
18,Perennial adult,0
19,Perennial adult,0
20,Perennial adult,0
21,Perennial adult,0
22,Perennial adult,0
23,Perennial adult,0
24,Perennial adult,0
25,Perennial adult,0
26,Perennial adult,0
27,Perennial adult,0
28,Perennial adult,0
29,Perennial adult,0
30,Perennial adult,0
31,Perennial adult,0
32,Perennial adult,0
33,Perennial adult,0
34,Perennial adult,0
35,Perennial adult,0
36,Perennial adult,0
37,Perennial adult,0
38,Perennial adult,0
39,Perennial adult,0
40,Perennial adult,0
41,Perennial adult,0
42,Perennial adult,0
43,Perennial adult,0
44,Perennial adult,0
45,Perennial adult,0
46,Perennial adult,0
47,Perennial adult,0
48,Perennial adult,0
49,Perennial adult,0
50,Perennial adult,0
51,Perennial adult,0
52,Perennial adult,0
53,Perennial adult,0
54,Perennial adult,0
55,Perennial adult,0
56,Perennial adult,0
57,Perennial adult,0
58,Perennial adult,0
59,Perennial adult,0
60,Perennial adult,0
61,Perennial adult,0
62,Perennial adult,0
63,Perennial adult,0
64,Perennial adult,0
65,Perennial adult,0
66,Perennial adult,0
67,Perennial adult,0
68,Perennial adult,0
69,Perennial adult,0
70,Perennial adult,0
71,Perennial adult,0
72,Perennial adult,0
73,Perennial adult,0
74,Perennial adult,0
75,Perennial adult,0
76,Perennial adult,0
77,Perennial adult,0
78,Perennial adult,0
79,Perennial adult,0
80,Perennial adult,0
81,Perennial adult,0
82,Perennial adult,0
83,Perennial adult,0
84,Perennial adult,0
85,Perennial adult,0
86,Perennial adult,0
87,Perennial adult,0
88,Perennial adult,0
89,Perennial adult,0
90,Perennial adult,0
91,Perennial adult,0
92,Perennial adult,0
93,Perennial adult,0
94,Perennial adult,0
95,Perennial adult,0
96,Perennial adult,0
97,Perennial adult,0
98,Perennial adult,0
99,Perennial adult,0
100,Perennial adult,0
1,Litter,0
2,Litter,83.47155798874043
3,Litter,1010.3101611859305
