time,species,N
1,Annual,10
2,Annual,5414.058205878596
3,Annual,39286.77608004077
4,Annual,40978.0535339843
5,Annual,41018.6022483919
6,Annual,41010.03926264803
7,Annual,41005.698947917284
8,Annual,41003.95224033221
9,Annual,41003.26312109027
10,Annual,41002.99142663069
11,Annual,41002.88455869882
12,Annual,41002.84280978943
13,Annual,41002.82669773143
14,Annual,41002.819527857624
15,Annual,41002.816824973794
16,Annual,41002.81613440805
17,Annual,41002.816440014234
18,Annual,41002.815617901666
19,Annual,41002.81530777763
20,Annual,41002.81527891267
21,Annual,41002.8152711841
22,Annual,41002.815460999984
23,Annual,41002.815273502754
24,Annual,41002.81548141872
25,Annual,41002.815270513725
26,Annual,41002.8154775874
27,Annual,41002.815493376074
28,Annual,41002.81527299844
29,Annual,41002.81548527783
30,Annual,41002.81549387643
31,Annual,41002.81549454298
32,Annual,41002.81634319253
33,Annual,41002.81552762483
34,Annual,41002.81633083873
35,Annual,41002.8153051195
36,Annual,41002.81547878092
37,Annual,41002.81520908208
38,Annual,41002.81548178439
39,Annual,41002.815271966116
40,Annual,41002.8154852846
41,Annual,41002.81548638527
42,Annual,41002.816308786794
43,Annual,41002.81552634921
44,Annual,41002.815273665816
45,Annual,41002.815485914034
46,Annual,41002.81549360752
47,Annual,41002.81549122626
48,Annual,41002.81549401435
49,Annual,41002.815271215404
50,Annual,41002.81528101151
51,Annual,41002.815852813685
52,Annual,41002.81607289359
53,Annual,41002.815295969536
54,Annual,41002.81526609164
55,Annual,41002.8152832792
56,Annual,41002.815486271975
57,Annual,41002.81549392291
58,Annual,41002.81548643039
59,Annual,41002.81535648632
60,Annual,41002.81526162843
61,Annual,41002.81548558038
62,Annual,41002.81528745232
63,Annual,41002.815486168445
64,Annual,41002.815493904636
65,Annual,41002.81549391576
66,Annual,41002.81537745921
67,Annual,41002.81596517425
68,Annual,41002.81551228968
69,Annual,41002.81519644377
70,Annual,41002.81641376009
71,Annual,41002.81520149396
72,Annual,41002.8154820866
73,Annual,41002.81549354307
74,Annual,41002.81627637322
75,Annual,41002.815317949506
76,Annual,41002.81548071905
77,Annual,41002.81549408905
78,Annual,41002.815486425585
79,Annual,41002.81548625586
80,Annual,41002.81549019674
81,Annual,41002.81549373763
82,Annual,41002.8154938523
83,Annual,41002.81549410407
84,Annual,41002.815272033935
85,Annual,41002.8152595151
86,Annual,41002.81527801056
87,Annual,41002.81528010318
88,Annual,41002.81520286556
89,Annual,41002.815261707845
90,Annual,41002.81515531341
91,Annual,41002.8154808538
92,Annual,41002.81523519209
93,Annual,41002.826447518084
94,Annual,41002.815637635766
95,Annual,41002.815495029434
96,Annual,41002.8151655728
97,Annual,41002.81525952086
98,Annual,41002.81520055433
99,Annual,41002.815402209606
100,Annual,41002.8154908084
1,Perennial first-year,0
2,Perennial first-year,0
3,Perennial first-year,0
4,Perennial first-year,0
5,Perennial first-year,0
6,Perennial first-year,0
7,Perennial first-year,0
8,Perennial first-year,0
9,Perennial first-year,0
10,Perennial first-year,0
11,Perennial first-year,0
12,Perennial first-year,0
13,Perennial first-year,0
14,Perennial first-year,0
15,Perennial first-year,0
16,Perennial first-year,0
17,Perennial first-year,0
18,Perennial first-year,0
19,Perennial first-year,0
20,Perennial first-year,0
21,Perennial first-year,0
22,Perennial first-year,0
23,Perennial first-year,0
24,Perennial first-year,0
25,Perennial first-year,0
26,Perennial first-year,0
27,Perennial first-year,0
28,Perennial first-year,0
29,Perennial first-year,0
30,Perennial first-year,0
31,Perennial first-year,0
32,Perennial first-year,0
33,Perennial first-year,0
34,Perennial first-year,0
35,Perennial first-year,0
36,Perennial first-year,0
37,Perennial first-year,0
38,Perennial first-year,0
39,Perennial first-year,0
40,Perennial first-year,0
41,Perennial first-year,0
42,Perennial first-year,0
43,Perennial first-year,0
44,Perennial first-year,0
45,Perennial first-year,0
46,Perennial first-year,0
47,Perennial first-year,0
48,Perennial first-year,0
49,Perennial first-year,0
50,Perennial first-year,0
51,Perennial first-year,0
52,Perennial first-year,0
53,Perennial first-year,0
54,Perennial first-year,0
55,Perennial first-year,0
56,Perennial first-year,0
57,Perennial first-year,0
58,Perennial first-year,0
59,Perennial first-year,0
60,Perennial first-year,0
61,Perennial first-year,0
62,Perennial first-year,0
63,Perennial first-year,0
64,Perennial first-year,0
65,Perennial first-year,0
66,Perennial first-year,0
67,Perennial first-year,0
68,Perennial first-year,0
69,Perennial first-year,0
70,Perennial first-year,0
71,Perennial first-year,0
72,Perennial first-year,0
73,Perennial first-year,0
74,Perennial first-year,0
75,Perennial first-year,0
76,Perennial first-year,0
77,Perennial first-year,0
78,Perennial first-year,0
79,Perennial first-year,0
80,Perennial first-year,0
81,Perennial first-year,0
82,Perennial first-year,0
83,Perennial first-year,0
84,Perennial first-year,0
85,Perennial first-year,0
86,Perennial first-year,0
87,Perennial first-year,0
88,Perennial first-year,0
89,Perennial first-year,0
90,Perennial first-year,0
91,Perennial first-year,0
92,Perennial first-year,0
93,Perennial first-year,0
94,Perennial first-year,0
95,Perennial first-year,0
96,Perennial first-year,0
97,Perennial first-year,0
98,Perennial first-year,0
99,Perennial first-year,0
100,Perennial first-year,0
1,Perennial adult,0
2,Perennial adult,0
3,Perennial adult,0
4,Perennial adult,0
5,Perennial adult,0
6,Perennial adult,0
7,Perennial adult,0
8,Perennial adult,0
9,Perennial adult,0
10,Perennial adult,0
11,Perennial adult,0
12,Perennial adult,0
13,Perennial adult,0
14,Perennial adult,0
